old_slug,count,suggested_target,confidence,alternates
https://clickhouse.com/docs/knowledgebase/count-parts-by-type,1,/resources/support-center/knowledge-base/troubleshooting/count-parts-by-type,manual,
/integrations/language-clients/java/jdbc-v1,1,/integrations/language-clients/java/jdbc,manual,
/knowledgebase/async_vs_optimize_read_in_order,1,/resources/support-center/knowledge-base/performance-optimization/async-vs-optimize-read-in-order,manual,
/tutorial.md,1,/core/get-started/quickstarts/tutorial,manual,
/operations/utilities/clickhouse-local,1,/core/concepts/features/tools-and-utilities/clickhouse-local,manual,
https://clickhouse.com/docs/knowledgebase/terraform_example,1,/resources/support-center/knowledge-base/integrations/terraform-example,manual,
/cloud/getting-started/quick-start/cloud,1,/core/get-started/setup/cloud,manual,
https://clickhouse.com/docs/knowledgebase/why-clickhouse-is-so-fast,1,/core/get-started/about/why-clickhouse-is-so-fast,manual,
/knowledgebase/why-clickhouse-is-so-fast,1,/core/get-started/about/why-clickhouse-is-so-fast,manual,
/sql-reference,1,/core/reference/home,manual,
/faq/integration/oracle-odbc.md,1,/resources/support-center/knowledge-base/integrations/oracle-odbc,manual,
/faq/integration/oracle-odbc,1,/resources/support-center/knowledge-base/integrations/oracle-odbc,manual,
/knowledgebase/view_number_of_active_mutations,1,/resources/support-center/knowledge-base/monitoring-debugging/view-number-of-active-mutations,manual,
/optimize/avoid-mutations,1,/core/concepts/best-practices/avoid-mutations,manual,
https://clickhouse.com/docs/knowledgebase/configure_cap_ipc_lock_and_cap_sys_nice_in_docker,1,/resources/support-center/knowledge-base/troubleshooting/configure-cap-ipc-lock-and-cap-sys-nice-in-docker,manual,
/knowledgebase/configure_cap_ipc_lock_and_cap_sys_nice_in_docker,1,/resources/support-center/knowledge-base/troubleshooting/configure-cap-ipc-lock-and-cap-sys-nice-in-docker,manual,
/faq/operations/multi-region-replication.md,1,/resources/support-center/knowledge-base/cloud-services/multi-region-replication,manual,
/faq/operations/multi-region-replication,1,/resources/support-center/knowledge-base/cloud-services/multi-region-replication,manual,
/faq/operations/delete-old-data.md,1,/resources/support-center/knowledge-base/tables-schema/delete-old-data,manual,
/faq/operations/delete-old-data,1,/resources/support-center/knowledge-base/tables-schema/delete-old-data,manual,
/faq/operations/production.md,1,/resources/support-center/knowledge-base/setup-installation/production,manual,
/faq/operations/production,1,/resources/support-center/knowledge-base/setup-installation/production,manual,
/sql-reference/formats.md,1,/core/reference/formats,manual,
